"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0000001",1,"I","3","5"
1,"0000003",1,"F","6","7"
1,"0000006",1,"G","4","6"
1,"0000014",2,"O","7","1"
1,"0000016",1,"F","1","2"
1,"0000017",5,"G","2","6"
1,"0000020",1,"G","1","5"
1,"0000024",1,"D","5","6"
1,"0000027",3,"O","5","1"
1,"0000028",1,"I","1","3"
1,"0000029",1,"D","3","5"
1,"0000032",1,"D","7","7"
1,"0000033",3,"N","5","1"
1,"0000037",1,"L","3","5"
1,"0000044",3,"N","8","1"
1,"0000046",1,"D","5","6"
1,"0000047",1,"I","1","4"
1,"0000048",5,"G","3","6"
1,"0000053",1,"H","1","4"
1,"0000056",3,"N","8","1"
1,"0000059",1,"G","5","7"
1,"0000067",1,"G","1","5"
1,"0000069",1,"F","1","5"
1,"0000070",1,"I","3","5"
1,"0000073",1,"M","1","2"
1,"0000075",1,"D","2","5"
1,"0000080",1,"D","7","8"
1,"0000082",1,"D","5","6"
1,"0000084",1,"G","6","7"
1,"0000088",1,"D","2","5"
1,"0000090",1,"F","1","4"
1,"0000093",1,"G","2","5"
1,"0000102",1,"K","7","1"
1,"0000106",1,"I","7","7"
1,"0000107",1,,"1","2"
1,"0000108",1,"D","2","5"
1,"0000110",1,"D","3","5"
1,"0000117",1,"M","5","6"
1,"0000125",1,"G","1","5"
1,"0000127",1,"D","2","4"
1,"0000130",3,"N","8","1"
1,"0000131",1,"L","1","1"
1,"0000133",1,"G","1","5"
1,"0000139",1,"D","5","6"
1,"0000141",1,"D","9","8"
1,"0000144",1,"D","9","9"
1,"0000145",1,"A","1","4"
1,"0000146",1,"G","1","4"
1,"0000150",1,"D","9","8"
1,"0000155",1,"D","3","5"
1,"0000157",1,"M","4","5"
1,"0000158",1,"H","1","4"
1,"0000159",1,"D","7","7"
1,"0000162",1,"G","1","4"
1,"0000167",1,"D","4","6"
1,"0000168",1,"G","1","2"
1,"0000170",1,"G","2","6"
1,"0000173",1,"G","1","4"
1,"0000174",1,"F","3","5"
1,"0000175",1,"F","1","5"
1,"0000179",3,"L","4","6"
1,"0000185",1,"S","2","1"
1,"0000189",1,"K","4","1"
1,"0000190",1,"G","5","7"
1,"0000193",1,"L","3","4"
1,"0000194",3,"N","9","1"
1,"0000195",1,"G","5","7"
1,"0000196",1,"D","1","4"
1,"0000200",1,"G","3","6"
1,"0000207",1,"D","7","7"
1,"0000208",1,"M","1","4"
1,"0000209",1,"G","5","7"
1,"0000211",1,"D","3","5"
1,"0000212",1,"B","2","5"
1,"0000217",1,"I","5","6"
1,"0000218",5,"M","2","5"
1,"0000219",5,"G","7","8"
1,"0000220",1,"M","4","5"
1,"0000226",1,"L","3","4"
1,"0000227",3,"N","6","1"
1,"0000228",1,"I","6","6"
1,"0000235",1,"I","1","2"
1,"0000236",1,"M","3","4"
1,"0000240",1,"D","8","7"
1,"0000241",1,"R","1","4"
1,"0000242",1,"D","1","4"
1,"0000243",3,"N","8","1"
1,"0000244",1,"D","7","7"
1,"0000248",1,"L","4","5"
1,"0000251",1,"I","1","3"
1,"0000253",1,"I","2","5"
1,"0000254",1,"G","6","8"
1,"0000258",1,"C","4","6"
1,"0000259",1,"H","2","5"
1,"0000260",1,"M","3","5"
1,"0000261",2,"D","7","7"
1,"0000263",1,"P","4","1"
1,"0000267",1,"O","3","1"
1,"0000270",1,"F","4","5"
1,"0000271",1,"G","1","4"
1,"0000272",1,"D","9","9"
1,"0000275",1,"D","1","5"
1,"0000281",1,"G","2","6"
1,"0000282",1,"F","1","4"
1,"0000285",1,"G","1","4"
1,"0000286",1,"F","1","2"
1,"0000289",1,"I","2","4"
1,"0000290",1,"G","6","7"
1,"0000299",1,"I","1","4"
1,"0000302",1,"L","1","3"
1,"0000304",1,"D","4","5"
1,"0000305",1,"G","8","8"
1,"0000306",1,"H","1","3"
1,"0000308",3,"L","3","1"
1,"0000310",1,"L","4","1"
1,"0000311",1,"D","2","4"
1,"0000314",1,"S","2","1"
1,"0000316",1,"G","1","4"
1,"0000318",3,"N","7","1"
1,"0000321",1,"I","1","2"
1,"0000325",1,"L","1","1"
1,"0000328",1,"G","5","7"
1,"0000329",1,"I","1","3"
1,"0000332",1,"F","6","7"
1,"0000335",1,"H","1","4"
1,"0000337",1,"D","6","6"
1,"0000339",1,"L","7","6"
1,"0000341",3,"N","7","1"
1,"0000342",1,"D","8","8"
1,"0000343",1,"M","2","4"
1,"0000344",1,"D","9","9"
1,"0000348",1,"G","5","6"
1,"0000349",3,"N","8","1"
1,"0000350",1,"F","1","4"
1,"0000355",1,"P","4","1"
1,"0000357",1,"I","1","4"
1,"0000358",1,"D","1","3"
1,"0000362",1,"R","1","4"
1,"0000364",1,"G","1","4"
1,"0000368",1,"H","3","5"
1,"0000370",3,"N","7","1"
1,"0000372",1,"G","6","7"
1,"0000375",1,"G","6","7"
1,"0000383",1,"L","1","2"
1,"0000384",3,"N","7","1"
1,"0000386",1,"G","2","5"
1,"0000388",1,"G","4","6"
1,"0000392",1,"S","2","1"
1,"0000395",1,"D","4","6"
1,"0000396",1,"L","5","5"
1,"0000399",1,"D","8","8"
1,"0000400",1,"M","7","7"
1,"0000403",1,"D","3","5"
1,"0000405",1,"I","3","5"
1,"0000414",1,"H","4","6"
1,"0000415",1,"G","4","8"
1,"0000418",1,"G","1","4"
1,"0000424",1,"A","1","1"
1,"0000427",1,"G","1","5"
1,"0000432",1,"G","8","8"
1,"0000433",1,"I","3","5"
1,"0000435",1,"D","2","5"
1,"0000436",1,"R","7","1"
1,"0000437",1,"D","4","6"
1,"0000439",1,"I","5","6"
1,"0000441",1,"S","1","1"
1,"0000443",1,"M","1","4"
1,"0000444",1,"S","5","1"
1,"0000449",1,"D","2","4"
1,"0000453",1,"D","7","7"
1,"0000455",1,"S","3","1"
1,"0000457",3,"N","7","1"
1,"0000458",1,"L","1","4"
1,"0000460",1,"O","3","1"
1,"0000462",1,"M","1","2"
1,"0000463",1,"G","2","6"
1,"0000464",1,"P","3","1"
1,"0000465",3,"N","7","1"
1,"0000468",1,"G","1","2"
1,"0000469",1,"M","8","7"
1,"0000470",1,"M","1","5"
1,"0000471",1,"I","1","2"
1,"0000472",1,"D","6","6"
1,"0000474",1,"G","4","5"
1,"0000477",3,"P","2","1"
1,"0000479",1,"T","2","4"
1,"0000480",1,"A","1","1"
1,"0000481",3,"N","7","1"
1,"0000482",1,"G","1","3"
1,"0000485",3,"N","9","1"
1,"0000486",1,"S","1","1"
1,"0000487",1,"G","6","7"
